komentar;label
"@Filosofi_Kucing @tempodotco Tambah2an anak SD kelas 1 masih banyak yang gak bisaaa… apalagi coding?

Dah lah benerin dulu kurikulum, sejahterakan pendidik, benerin tuh yang harus dibenerin, baru dah kalo semua beres usul coding masuk jadi matpel.

Kok nyocot tok tapi gak berbenah";negative
@bunshin_ysf1 @tempodotco saya dari SMP bukan cuma hafal provinsi dan ibukota provinsi indo, tapi juga hafal 50 negara bagian dan ibukotanya di amrik;neutral
"@tempodotco Pelajaran AI coding dini penting? 
Saya yakin penting, 
Tp attitude, disiplin, tanggung jawab itu harus bin wajib! 
Minimal biar tdk ada lagi yg seperti fufufafa, biarlah pimpinanya bilang ndasmu etik! tp tetaplah berikhtiar, pahamkan generasi bangsa ini bagaimana cara beretika!";positive
politikus gede bacot semua anj, kemaren kurikulum Finlandia, skrg ginian. Padahal di lapangan boro-boro coding ngerti pake fitur heading dan buat halaman di MS Word aja mabok.;negative
Kayak gini? Miris! Meja Gibran Cuma Penuh Mainan, Meja Bung Hatta Penuh Buku Pengetahuan;negative
@tempodotco Kenapa sihh kita gak bisa fokus untuk memperkuat akar dulu? Skrng aja banyak anak SMP belum bisa baca. Mau diajarin coding?;neutral
@tempodotco Memang asli kosong  pohon dan buah. Berapalah biaya habis untuk pencitraan keluarga ini.?;negative
@tempodotco Coba bilang.. gak usah banyak baca buku pelajaran.. banyakin baca Komik shincan aja.. toh Sy bisa jd org no 2.;negative
@tempodotco anak sma belom pada lancar matematika dasar anak sd udah disuruh belajar koding koding, emang paling keren;negative
@tempodotco pak @gibran_tweet logika matematika nya dulu yang dikenalkan baru belajar algoritmanya sebelum belajar coding, karena coding mah gampang bisa belajar semalam dengan bantuan chatgpt cuman logika dan analisanya yang susah;neutral
@genishiu @tempodotco Kepala dinas pendidikan sudah merespon  hal ini;neutral
Dunia pendidikan indonesia ga membutuhkan studi banding..yg di butuhkan studi kasus...pergi aja lu ke pelosok mengkampanyekan kurikulum lu tsb dg segala tuntutan fasilitasnya..dijamin kena sambit pala lu...;negative
@tempodotco Bang matematikanya dulu atuh;negative
@criticast_ @tempodotco Buzzer WAbah dengki;negative
@octizc @tempodotco Tbh it is really good idea, karena memang ada pengenalannya dari umur 5 tahun, tapi kalau diterapin di indonesia i think cuma bakal jadi ladang korupsi doang.;positive
"@roxette_____ @arlandwilman @tempodotco Anak yg mana?
Semua pelajar SMP SMA sdh diajarkan operasikan komputer MS-Ofiice window dll";positive
@AbiTohirin98031 @tempodotco Ngapain jg benci gibran, ga ada urusan pak, urusan sy sebagai rakyat ga terima demokrasi, hukum, katanya 99,9% gibran adl fufufafa, dll, dimain2in ama keluarga, kroninya dan para buzzernya keluarga pak jokowi itu aja. Sesimpel itu pak mau nya rakyat waras.;negative
"@tempodotco Anak SMA menasehati Prof, Dr !!!
Hasil Rekayasa menasehati hasil kerja keras !!!
Semoga Rakyat Indonesia diberikan keselamatan dari Pemimpin2 yang Dzalim dan Bodoh !
Aamiiiiiiin
@PPPemudaMu 
@gibran_tweet 
@kaesangp 
@prabowo";negative
"@tempodotco Guru nya cuk benerin dulu, jangankan coding &amp; Ai, laptop anak bermasalah, contoh cursor hilang aja ga tau solusinya, dari pagi sampe sore semua guru coba benerin, tp ga ada yg berhasil, termasuk yg dianggap jago komputer/IT di sekolah itu...setingkat Guru SMP itu loh kek gitu";negative
@IskandarRully @Wicaksono_J @tempodotco Paman loe tolooool kali..;negative
@Ifundvm04 @tempodotco Tetap wakil presiden.. loe jadi sampah pembenci nya..;negative
@tempodotco Mata pelajaran pilihan kalau tidak *wajib* bakal memarik sih;positive
@tempodotco Hidup berat makin susah dunia gelaaap Fufufafa di pecat aja;negative
@PEACEMINU5ONE @ProgJoki @tempodotco Dan logika nalar dibentuk dari troubleshooting matematika basic  skrg kalo modelan yg kaya di video mau ngarep apa, yg ada ketinggalan materi doang, bakar waktu;neutral
@tempodotco Gegayaan ngoding, kemaren liat anak sekolah ga bisa baca jam analog kan?;negative
@tempodotco Oalah pantesan, tolonglah matengin dulu karakter dan moral. AI gampang kok bisa nanti kalo udah SMA;negative
@tempodotco UARGBBBHHHHHH PENDIDIKAN TUH MBOK YA JANGAN DIPAKAI BUAT COBA COBA.;negative
@tempodotco Harusnya ditingkatkan pelajaran budi pekerti,akhlak dan etika;neutral
@tempodotco Sekali lagi gibran bisa muncul karena apa? Karena para pemilih jokowi yang bloon itu.;negative
@tempodotco Kalau memang sasarannya agar anak2 indo ga buta iptek, ga perlu sampe diajarin coding dan AI sejak SD dan SMP. Kejauhan itu. Bisa basic komputer dan Microsoft Office aja udah cukup untuk tingkat SD dan SMP.;positive
@tempodotco SD coding? Mending balikin mata pelajaran PPKN biar diajarkan Adab dan hargain orang lebih tua terutama  guru.;negative
@tempodotco Itu Wapres kita ., hrs dihormati... jangan diEjek...mang da kipintingan OPO?;negative
@tempodotco Saya kok senang baca komen temen2 malahan;positive
@tempodotco Pegawai kemen yang pontang-panting karena minimnya sarana di tingkat SD-SMP be like: https://t.co/nWDECGKRVr;neutral
;
@tempodotco Temen gw guru, dia cerita muridnya di smp aja masih ada yang ga tau cara nyalain komputer, cok. Kecerdasan buatan, kecerdasan buatan, otak lu noh cerdasin dulu baru ngomongin pendidikan, asu.;negative
@tempodotco Ipk 2 koma ngasih usulan ttg pendidikan;neutral
@tempodotco Tambahan dana alokasi lagi rekk;neutral
@tempodotco Seperti biasa program baguss. Syang fasilitas belom memadai. Udah bisa ketebakk endingnya kaya yang sudah-sudah;negative
"@DSis48 @arlandwilman @tempodotco lagi pula, mata kuliah AI tuh dah gaada dasarnya yg bisa masuk ke anak sd smp. Orang hitungan dasarnya aja diperoleh dari mtk sma.
Berarti bener kan gibran asal ceplos";negative
"@tempodotco apa blio ini ga sadar kalo anak sd sekarang banyak gabisa baca &amp; hitung? trus sekarang mau dikasih coding? tolong lah realistis dikit";negative
@DSis48 @arlandwilman @tempodotco nah sesuai dengan yg gua bilang, dasar AI dan Koding itu logika dan mtk. ya di sd smp diajarkan saja logika dan mtk, koding pakai scratch. berarti apa? koding dan AI tidak perlu dimasukan ke pembelajaran sd smp cukup mtk dan logika saja sebenarnya;positive
