komentar;label;label_id;clean_text
"@Filosofi_Kucing @tempodotco Tambah2an anak SD kelas 1 masih banyak yang gak bisaaaâ¦ apalagi coding?

Dah lah benerin dulu kurikulum, sejahterakan pendidik, benerin tuh yang harus dibenerin, baru dah kalo semua beres usul coding masuk jadi matpel.

Kok nyocot tok tapi gak berbenah";negative;0;anak kelas bisaaa coding benerin kurikulum sejahtera didik benerin tuh dibenerin beres usul coding masuk matpel nyocot tok benah
@bunshin_ysf1 @tempodotco saya dari SMP bukan cuma hafal provinsi dan ibukota provinsi indo, tapi juga hafal 50 negara bagian dan ibukotanya di amrik;neutral;1;smp hafal provinsi ibukota provinsi indo hafal negara ibukotanya amrik
"@tempodotco Pelajaran AI coding dini penting? 
Saya yakin penting, 
Tp attitude, disiplin, tanggung jawab itu harus bin wajib! 
Minimal biar tdk ada lagi yg seperti fufufafa, biarlah pimpinanya bilang ndasmu etik! tp tetaplah berikhtiar, pahamkan generasi bangsa ini bagaimana cara beretika!";positive;2;ajar coding attitude disiplin tanggung bin wajib minimal biar fufufafa biar pimpinanya bilang ndasmu etik tetap ikhtiar paham generasi bangsa etika sarcasm
politikus gede bacot semua anj, kemaren kurikulum Finlandia, skrg ginian. Padahal di lapangan boro-boro coding ngerti pake fitur heading dan buat halaman di MS Word aja mabok.;negative;0;politikus gede bacot kasar kemaren kurikulum finlandia skrg ginian lapang boro boro coding ngerti pake fitur heading halaman word mabok
Kayak gini? Miris! Meja Gibran Cuma Penuh Mainan, Meja Bung Hatta Penuh Buku Pengetahuan;negative;0;kayak gin miris meja gibran penuh main meja hatta penuh buku tahu
@tempodotco Kenapa sihh kita gak bisa fokus untuk memperkuat akar dulu? Skrng aja banyak anak SMP belum bisa baca. Mau diajarin coding?;neutral;1;sihh fokus kuat akar skrng anak smp baca diajarin coding
@tempodotco Memang asli kosong  pohon dan buah. Berapalah biaya habis untuk pencitraan keluarga ini.?;negative;0;asli kosong pohon buah biaya habis citra keluarga
@tempodotco Coba bilang.. gak usah banyak baca buku pelajaran.. banyakin baca Komik shincan aja.. toh Sy bisa jd org no 2.;negative;0;coba bilang baca buku ajar banyakin baca komik shincan org
@tempodotco anak sma belom pada lancar matematika dasar anak sd udah disuruh belajar koding koding, emang paling keren;negative;0;anak sma bom lancar matematika dasar anak udah suruh ajar koding koding emang keren
@tempodotco pak @gibran_tweet logika matematika nya dulu yang dikenalkan baru belajar algoritmanya sebelum belajar coding, karena coding mah gampang bisa belajar semalam dengan bantuan chatgpt cuman logika dan analisanya yang susah;neutral;1;logika matematika nya kenal ajar algoritmanya ajar coding coding gampang ajar malam bantu chatgpt cuman logika analisanya susah
